stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,image_7.stopped,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,routine.stopped,routine_1.started,image_2.started,key_resp.started,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,text_3.stopped,image_2.stopped,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.012339800000063406,0.01964029999999184,0.01964029999999184,8.276088499999787,space,8.251702900000055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-11_13h59.12.795,untitled,2023.2.3,299.1808428503304,2023-11-11 13h59.27.857571 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.276109399999768,8.279609700000037,8.279609700000037,41.24927399999979,space,32.9628488000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-11_13h59.12.795,untitled,2023.2.3,299.1808428503304,2023-11-11 13h59.27.857571 +0800,
9,test/rightstar.PNG,right,0,0,0,3,,,,,,,,,,,,,41.3369846999999,,,,,,,,,,,,,,,,41.25425189999987,41.3369846999999,41.7522184999998,41.75222829999984,42.24886090000018,42.746003799999926,42.54553140000007,42.54554180000014,43.88757050000004,43.88757050000004,44.66690689999996,right,0.7754451000000699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-11_13h59.12.795,untitled,2023.2.3,299.1808428503304,2023-11-11 13h59.27.857571 +0800,
8,test/rightstar.PNG,right,0,1,1,1,,,,,,,,,,,,,44.8543295999998,,,,,,,,,,,,,,,,44.667407699999785,44.8543295999998,45.16867890000003,45.168688400000065,45.668406499999946,46.139191499999924,45.96561620000011,45.96562630000017,47.278463399999964,47.278463399999964,47.67630650000001,right,0.39379220000000714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-11_13h59.12.795,untitled,2023.2.3,299.1808428503304,2023-11-11 13h59.27.857571 +0800,
1,test/leftstar.PNG,space,0,2,2,0,,,,,,,,,,,,,47.75360039999987,,,,,,,,,,,,,,,,47.67664070000001,47.75360039999987,48.179044800000156,48.17905449999989,48.67873529999997,49.14927129999978,48.97547429999986,48.975484699999924,50.287490499999876,50.287490499999876,51.17269699999997,space,0.8844806000001881,None,51.08883530000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-11_13h59.12.795,untitled,2023.2.3,299.1808428503304,2023-11-11 13h59.27.857571 +0800,
8,test/leftstar.PNG,left,0,3,3,5,,,,,,,,,,,,,51.25295219999998,,,,,,,,,,,,,,,,51.17308920000005,51.25295219999998,51.67580670000007,51.67581659999996,52.17530420000003,52.63259100000005,52.47214729999996,52.472157100000004,53.78411419999975,53.78411419999975,54.23937569999998,left,0.450733499999842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-11_13h59.12.795,untitled,2023.2.3,299.1808428503304,2023-11-11 13h59.27.857571 +0800,
1,test/blank.PNG,space,0,4,4,2,,,,,,,,,,,,,54.319550300000174,,,,,,,,,,,,,,,,54.23968879999984,54.319550300000174,54.741961600000195,54.74197060000006,55.24162609999985,55.57428609999988,55.53880769999978,55.53881880000017,56.949582400000054,56.949582400000054,57.71250329999975,space,0.7619368000000577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-11_13h59.12.795,untitled,2023.2.3,299.1808428503304,2023-11-11 13h59.27.857571 +0800,
2,test/leftstar.PNG,space,0,5,5,4,,,,,,,,,,,,,57.780965599999945,,,,,,,,,,,,,,,,57.712828400000035,57.780965599999945,58.21547379999993,58.215482300000076,58.712182499999926,59.176084400000036,59.00878490000014,59.00879450000002,60.35682429999997,60.35682429999997,66.78929419999986,space,6.428621600000042,None,61.158679199999824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-11_13h59.12.795,untitled,2023.2.3,299.1808428503304,2023-11-11 13h59.27.857571 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.78954029999977,66.79291379999995,66.79291379999995,80.1096306999998,space,13.310145100000227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-11_13h59.12.795,untitled,2023.2.3,299.1808428503304,2023-11-11 13h59.27.857571 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.10965679999981,80.11306319999994,80.11306319999994,86.77309370000012,space,6.656362300000183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-11_13h59.12.795,untitled,2023.2.3,299.1808428503304,2023-11-11 13h59.27.857571 +0800,
1,condition_1/rightstar.PNG,space,,,,,0,0,0,12,,,,,,,,,86.86637889999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.77838770000017,86.86637889999975,87.2757603,87.27577079999992,87.77548380000007,88.0755294999999,88.07554040000014,89.39257120000002,89.39257120000002,89.91936940000005,space,1,0.5244974000002003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-11_13h59.12.795,untitled,2023.2.3,299.1808428503304,2023-11-11 13h59.27.857571 +0800,
9,condition_1/blank.PNG,space,,,,,0,1,1,11,,,,,,,,,89.99792200000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.91987569999992,89.99792200000002,90.42190089999986,90.42191120000007,90.9219250000001,91.21906799999988,91.21907729999975,92.61613679999982,92.61613679999982,94.51911500000006,space,1,1.9018105999998625,None,91.25769249999985,93.41535199999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-11_13h59.12.795,untitled,2023.2.3,299.1808428503304,2023-11-11 13h59.27.857571 +0800,
