stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_2.stopped,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,image_5.stopped,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.019204099997295998,0.05256989999907091,0.05256989999907091,5.869818200008012,space,5.808688000004622,0.0077314000081969425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-12_14h25.07.176,untitled,2023.2.3,59.80786126573501,2023-11-12 14h25.16.772704 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.869843000007677,5.885659400009899,5.885659400009899,54.35387420000916,space,48.46466959999816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-12_14h25.07.176,untitled,2023.2.3,59.80786126573501,2023-11-12 14h25.16.772704 +0800,
2,test/leftstar.PNG,space,0,0,0,4,,,,,,,,,,,,,54.48568230000092,,,,,,,,,,,,,,,,54.35957790000248,54.48568230000092,54.86949350000941,54.86950539999816,55.36937580000085,55.8692141000065,55.652711600007024,55.65272050000203,56.99282790000143,56.99282790000143,57.80206280000857,58.22025990000111,left,1.2264339000103064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-12_14h25.07.176,untitled,2023.2.3,59.80786126573501,2023-11-12 14h25.16.772704 +0800,
8,test/leftstar.PNG,left,0,1,1,5,,,,,,,,,,,,,58.29265050000686,,,,,,,,,,,,,,,,58.22070910000184,58.29265050000686,58.73600850001094,58.73601990001043,59.23566400000709,59.71952769999916,59.51946460000181,59.51947660000587,60.83486690001155,60.83486690001155,,61.31940100000065,left,0.47387019998859614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-12_14h25.07.176,untitled,2023.2.3,59.80786126573501,2023-11-12 14h25.16.772704 +0800,
9,test/rightstar.PNG,right,0,2,2,3,,,,,,,,,,,,,61.39606850000564,,,,,,,,,,,,,,,,61.319723699998576,61.39606850000564,61.83542210000451,61.83543279999867,62.318991100008134,62.786218799999915,62.603184500010684,62.60319449999952,63.918436799998744,63.918436799998744,,64.2866500000091,right,0.3671508000115864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-12_14h25.07.176,untitled,2023.2.3,59.80786126573501,2023-11-12 14h25.16.772704 +0800,
8,test/rightstar.PNG,right,0,3,3,1,,,,,,,,,,,,,64.3640360999998,,,,,,,,,,,,,,,,64.28700799999933,64.3640360999998,64.80294490000233,64.80295840000326,65.2853851000109,65.78589140000986,65.5693609000009,65.56937300000573,66.90172290000191,66.90172290000191,,67.38634130000719,right,0.4741490999876987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-12_14h25.07.176,untitled,2023.2.3,59.80786126573501,2023-11-12 14h25.16.772704 +0800,
1,test/leftstar.PNG,space,0,4,4,0,,,,,,,,,,,,,67.46864300000016,,,,,,,,,,,,,,,,67.38665630000469,67.46864300000016,67.9021136000083,67.90212240000255,68.40228210001078,68.86951360000239,68.68572990001121,68.68574670000817,69.98541660000046,69.98541660000046,,70.36922350000532,left,0.36919169999600854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-12_14h25.07.176,untitled,2023.2.3,59.80786126573501,2023-11-12 14h25.16.772704 +0800,
1,test/blank.PNG,space,0,5,5,2,,,,,,,,,,,,,70.45174480001151,,,,,,,,,,,,,,,,70.36959930000012,70.45174480001151,70.88554080000904,70.88555000000633,71.36854540000786,71.69088930000726,71.65265770000406,71.6526687000005,73.05856830000994,73.05856830000994,73.86870110000018,76.60306449999916,space,3.536347700006445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-12_14h25.07.176,untitled,2023.2.3,59.80786126573501,2023-11-12 14h25.16.772704 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.60333540001011,76.61851939999906,76.61851939999906,86.83584420000261,space,10.202278299999307,0.008846099997754209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-12_14h25.07.176,untitled,2023.2.3,59.80786126573501,2023-11-12 14h25.16.772704 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.83588140000938,86.85213569999905,86.85213569999905,93.28608930000337,space,6.430121199999121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-12_14h25.07.176,untitled,2023.2.3,59.80786126573501,2023-11-12 14h25.16.772704 +0800,
