stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,image_2.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,image_9.stopped,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.005393423988834911,0.015017756233419277,0.015017756233419277,1.682860960534299,space,1.659624767925152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-09_18h15.06.309,untitled,2023.2.2,60.00604004093853,2023-11-09 18h15.38.013214 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6829000215436736,1.6981605569740168,1.6981605569740168,29.065748392414207,space,27.353388557588232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-09_18h15.06.309,untitled,2023.2.2,60.00604004093853,2023-11-09 18h15.38.013214 +0800,
1,test/leftstar.PNG,space,0,0,0,0,,,,,,,,,,,,,29.209882916126617,,,,,,,,,,,,,,,,29.072318754663,29.209882916126617,29.58174312458641,29.58175544382766,30.064874327211783,30.603328839314145,30.34876884205437,30.348780860826537,31.674328533736798,31.674328533736798,32.48161503452252,37.46588787026462,space,5.776520847912479,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-09_18h15.06.309,untitled,2023.2.2,60.00604004093853,2023-11-09 18h15.38.013214 +0800,
2,test/leftstar.PNG,space,0,1,1,4,,,,,,,,,,,,,37.57850676972362,,,,,,,,,,,,,,,,37.46653688395895,37.57850676972362,37.98170382320154,37.98171614244279,38.481712386576646,39.01188746703474,38.76570215018842,38.765719577407936,40.084391911726925,40.084391911726925,40.89832449302571,45.066106852292705,space,4.9753245594295095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-09_18h15.06.309,untitled,2023.2.2,60.00604004093853,2023-11-09 18h15.38.013214 +0800,
1,test/blank.PNG,space,0,2,2,2,,,,,,,,,,,,,45.179177357113986,,,,,,,,,,,,,,,,45.066736936420966,45.179177357113986,45.58176866447707,45.581782486065094,46.08164051431936,46.46244268923624,46.365533827284935,46.365547047934115,47.681705355594886,47.681705355594886,48.48161172936011,50.3326570770887,space,2.6414926473660216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-09_18h15.06.309,untitled,2023.2.2,60.00604004093853,2023-11-09 18h15.38.013214 +0800,
9,test/rightstar.PNG,right,0,3,3,3,,,,,,,,,,,,,50.44870703551874,,,,,,,,,,,,,,,,50.333287762155805,50.44870703551874,50.8483759784408,50.84839010049791,51.34839986575025,51.88271150710284,51.6321399393712,51.63215255908199,52.953956684946206,52.953956684946206,53.76494436660619,53.94940577688294,right,0.9853638397812574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-09_18h15.06.309,untitled,2023.2.2,60.00604004093853,2023-11-09 18h15.38.013214 +0800,
8,test/rightstar.PNG,right,0,4,4,1,,,,,,,,,,,,,54.057487890336006,,,,,,,,,,,,,,,,53.95001603003743,54.057487890336006,54.46496843419732,54.464980452969485,54.965142556158526,55.49747861184392,55.24907613201049,55.2490956625154,56.553492399779316,56.553492399779316,57.36487790279648,57.49921051690626,right,0.9298632534155331,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-09_18h15.06.309,untitled,2023.2.2,60.00604004093853,2023-11-09 18h15.38.013214 +0800,
8,test/leftstar.PNG,left,0,5,5,5,,,,,,,,,,,,,57.606874677558835,,,,,,,,,,,,,,,,57.49968676075173,57.606874677558835,58.01498410367162,58.01501595341756,58.498816000711486,59.03857605193548,58.78340970762224,58.78344636487736,60.10256760033508,60.10256760033508,60.91496989147345,61.53256050625464,left,1.420083728776035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-09_18h15.06.309,untitled,2023.2.2,60.00604004093853,2023-11-09 18h15.38.013214 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.532930984905306,61.548924364965615,61.548924364965615,81.39940993838286,space,19.838379665199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-09_18h15.06.309,untitled,2023.2.2,60.00604004093853,2023-11-09 18h15.38.013214 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.39945020126947,81.41491745958001,81.41491745958001,85.1823617307873,space,3.755649348717725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-09_18h15.06.309,untitled,2023.2.2,60.00604004093853,2023-11-09 18h15.38.013214 +0800,
