stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,image_7.stopped,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_2.stopped,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,image_9.stopped,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.026956799993058667,0.04422149999300018,0.04422149999300018,6.3775083999935305,space,6.3270510000002105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-12_14h25.04.868,untitled,2023.2.3,60.08770401081217,2023-11-12 14h40.00.644612 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.377529199991841,6.394052099989494,6.394052099989494,35.09423759998754,space,28.687340999997105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-12_14h25.04.868,untitled,2023.2.3,60.08770401081217,2023-11-12 14h40.00.644612 +0800,
8,test/leftstar.PNG,left,0,0,0,5,,,,,,,,,,,,,35.18760549998842,,,,,,,,,,,,,,,,35.09980260000157,35.18760549998842,35.61068249998789,35.61069309999584,36.094069899991155,36.57703239998955,36.37966449999658,36.37967349999235,37.726855699991575,37.726855699991575,38.27760190000117,left,0.5408767000044463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-12_14h25.04.868,untitled,2023.2.3,60.08770401081217,2023-11-12 14h40.00.644612 +0800,
8,test/rightstar.PNG,right,0,1,1,1,,,,,,,,,,,,,38.36057049999363,,,,,,,,,,,,,,,,38.27804949998972,38.36057049999363,38.79405779999797,38.794067599999835,39.27775649999967,39.76081179999164,39.56113180000102,39.56114069999603,40.8763018999889,40.8763018999889,41.328052099997876,right,0.4475853000039933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-12_14h25.04.868,untitled,2023.2.3,60.08770401081217,2023-11-12 14h40.00.644612 +0800,
2,test/leftstar.PNG,space,0,2,2,4,,,,,,,,,,,,,41.41043589999026,,,,,,,,,,,,,,,,41.32841769998777,41.41043589999026,41.844515299992054,41.84452769999916,42.344007599996985,42.812965799996164,42.62819599999057,42.628205599990906,43.926973499997985,43.926973499997985,44.74464910000097,left,0.8053618999983883,None,44.72715999999491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-12_14h25.04.868,untitled,2023.2.3,60.08770401081217,2023-11-12 14h40.00.644612 +0800,
1,test/leftstar.PNG,space,0,3,3,0,,,,,,,,,,,,,44.82681369999773,,,,,,,,,,,,,,,,44.74496739999449,44.82681369999773,45.26039359999413,45.26040239998838,45.74404379999032,46.21094349998748,46.02762569999322,46.02763569999661,47.343236699991394,47.343236699991394,47.89486169999873,left,0.5494701999996323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-12_14h25.04.868,untitled,2023.2.3,60.08770401081217,2023-11-12 14h40.00.644612 +0800,
1,test/blank.PNG,space,0,4,4,2,,,,,,,,,,,,,47.97818759999063,,,,,,,,,,,,,,,,47.89526299999852,47.97818759999063,48.41088289998879,48.41089359999751,48.893717099999776,49.22742679998919,49.17799579999701,49.17800649999117,50.61056760000065,50.61056760000065,69.21100329999172,space,18.589003499990213,None,51.4106912999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-12_14h25.04.868,untitled,2023.2.3,60.08770401081217,2023-11-12 14h40.00.644612 +0800,
9,test/rightstar.PNG,right,0,5,5,3,,,,,,,,,,,,,69.2950395999942,,,,,,,,,,,,,,,,69.21133559998998,69.2950395999942,69.7117176999891,69.71172849999857,70.2107904000004,70.67750289999822,70.4945272999903,70.49453579999681,71.86114719999023,71.86114719999023,72.24433819999103,right,0.36873930000001565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-12_14h25.04.868,untitled,2023.2.3,60.08770401081217,2023-11-12 14h40.00.644612 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.24458249998861,72.26036409998778,72.26036409998778,73.81152279999515,space,1.5468594000121811,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-12_14h25.04.868,untitled,2023.2.3,60.08770401081217,2023-11-12 14h40.00.644612 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.81156159999955,73.82690349999757,73.82690349999757,85.67756719999306,space,11.840767499990761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2023-11-12_14h25.04.868,untitled,2023.2.3,60.08770401081217,2023-11-12 14h40.00.644612 +0800,
