stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_2.stopped,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,image_9.stopped,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.02130089999991469,0.03815049999684561,0.03815049999684561,1.9881852999969851,space,1.9463094999955501,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-12_13h46.20.064,untitled,2023.2.3,60.361796536378186,2023-11-12 13h46.29.105285 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.988205999994534,2.004305499998736,2.004305499998736,46.28823890000058,space,44.277858400004334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-12_13h46.20.064,untitled,2023.2.3,60.361796536378186,2023-11-12 13h46.29.105285 +0800,
1,test/blank.PNG,space,0,0,0,2,,,,,,,,,,,,,46.388154100000975,,,,,,,,,,,,,,,,46.293701599992346,46.388154100000975,46.78898269998899,46.789009599990095,47.28793349998887,47.62063209999178,47.57356889999937,47.57357839999895,48.88733329999377,48.88733329999377,49.689715999993496,51.689902699989034,space,2.7852865000022575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-12_13h46.20.064,untitled,2023.2.3,60.361796536378186,2023-11-12 13h46.29.105285 +0800,
2,test/leftstar.PNG,space,0,1,1,4,,,,,,,,,,,,,51.770665699994424,,,,,,,,,,,,,,,,51.69081649999134,51.770665699994424,52.204798399994615,52.20480909998878,52.704736100000446,53.154047499992885,52.98782850000134,52.98783959999855,54.37073290000262,54.37073290000262,,55.1210868999915,space,0.7437632999935886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-12_13h46.20.064,untitled,2023.2.3,60.361796536378186,2023-11-12 13h46.29.105285 +0800,
9,test/rightstar.PNG,right,0,2,2,3,,,,,,,,,,,,,55.19236020000244,,,,,,,,,,,,,,,,55.12140089999593,55.19236020000244,55.62147189999814,55.6214811999962,56.12110959998972,56.604805099996156,56.404706499990425,56.404716899996856,57.720698299992364,57.720698299992364,,58.13833560000057,right,0.41601749999972526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-12_13h46.20.064,untitled,2023.2.3,60.361796536378186,2023-11-12 13h46.29.105285 +0800,
8,test/leftstar.PNG,left,0,3,3,5,,,,,,,,,,,,,58.220740699995076,,,,,,,,,,,,,,,,58.138711499996134,58.220740699995076,58.63868589999038,58.63870759999554,59.13773859999492,59.621122199998354,59.421330600001966,59.42134239998995,60.738126600001124,60.738126600001124,,61.105609999998705,space,0.35777640000742394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-12_13h46.20.064,untitled,2023.2.3,60.361796536378186,2023-11-12 13h46.29.105285 +0800,
1,test/leftstar.PNG,space,0,4,4,0,,,,,,,,,,,,,61.18738609999127,,,,,,,,,,,,,,,,61.10604479999165,61.18738609999127,61.62151420000009,61.621523399997386,62.10431749999407,62.588869499988505,62.38814029999776,62.38815020000038,63.70384029998968,63.70384029998968,,64.40465869999025,space,0.6964852000091923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-12_13h46.20.064,untitled,2023.2.3,60.361796536378186,2023-11-12 13h46.29.105285 +0800,
8,test/rightstar.PNG,right,0,5,5,1,,,,,,,,,,,,,64.4749382000009,,,,,,,,,,,,,,,,64.40498369999113,64.4749382000009,64.92133719999401,64.9213471999974,65.40454039999167,65.87316699999792,65.68858299999556,65.68859409999277,67.00377039999876,67.00377039999876,,67.23799579999468,right,0.23271050000039395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-12_13h46.20.064,untitled,2023.2.3,60.361796536378186,2023-11-12 13h46.29.105285 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.23826240000199,67.25411449999956,67.25411449999956,73.7719020999939,space,6.506218399998033,0.0096075000037672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-12_13h46.20.064,untitled,2023.2.3,60.361796536378186,2023-11-12 13h46.29.105285 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.771928999995,73.78738379999413,73.78738379999413,77.07135759999801,space,3.2717877000104636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-12_13h46.20.064,untitled,2023.2.3,60.361796536378186,2023-11-12 13h46.29.105285 +0800,
