stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,image_2.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,image_9.stopped,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,image_5.stopped,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.016138299999965966,0.025619999999889842,0.025619999999889842,14.705570999999964,space,14.67772489999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.705593500000077,14.711577799999986,14.711577799999986,37.315065600000025,space,22.598118500000055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
1,test/blank.PNG,space,0,0,0,2,,,,,,,,,,,,,37.44872899999996,,,,,,,,,,,,,,,,37.325204299999996,37.44872899999996,37.81789690000005,37.81790920000003,38.30180700000005,38.63830400000006,38.58473869999989,38.58474890000002,39.911868700000014,39.911868700000014,40.701188900000034,42.744904500000075,space,2.829741100000092,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
9,test/rightstar.PNG,right,0,1,1,3,,,,,,,,,,,,,42.82492750000006,,,,,,,,,,,,,,,,42.745361699999876,42.82492750000006,43.24783000000002,43.24783849999994,43.73113220000005,44.19566970000005,44.014613600000075,44.01462330000004,45.40897319999999,45.40897319999999,46.2013515000001,46.81850600000007,right,1.4075066000000334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
8,test/rightstar.PNG,right,0,2,2,1,,,,,,,,,,,,,46.901522500000056,,,,,,,,,,,,,,,,46.818842399999994,46.901522500000056,47.32133169999997,47.321340799999916,47.807894099999885,48.27851469999996,48.091306999999915,48.091318999999885,49.41775740000003,49.41775740000003,,49.89856729999997,right,0.4801526000001104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
1,test/leftstar.PNG,space,0,3,3,0,,,,,,,,,,,,,49.984782100000075,,,,,,,,,,,,,,,,49.8988781999999,49.984782100000075,50.40102610000008,50.401035500000035,50.88468979999993,51.355432199999996,51.16819140000007,51.168201799999906,52.49747329999991,52.49747329999991,53.287685999999894,56.38837349999994,space,3.8886144999999033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
2,test/leftstar.PNG,space,0,4,4,4,,,,,,,,,,,,,56.46831109999994,,,,,,,,,,,,,,,,56.38870339999994,56.46831109999994,56.89108319999991,56.891093299999966,57.377659400000084,57.831977999999935,57.66484569999989,57.66485680000005,58.982026299999916,58.982026299999916,59.76762439999993,60.36836169999992,space,1.3831557000000885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
8,test/leftstar.PNG,left,0,5,5,5,,,,,,,,,,,,,60.44189929999993,,,,,,,,,,,,,,,,60.36870320000003,60.44189929999993,60.871126400000094,60.871135000000095,61.35435940000002,61.80245940000009,61.63792820000003,61.63794030000008,62.968820699999924,62.968820699999924,63.757634499999995,63.96162030000005,left,0.991140600000108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.961863700000094,63.96612899999991,63.96612899999991,66.00813530000005,space,2.040962699999909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.00815779999994,66.01433659999998,66.01433659999998,68.90521820000004,space,2.889869200000021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
2,condition_1/rightstar.PNG,space,,,,,0,0,0,5,,,,,,,,,68.9911012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.91039950000004,68.9911012,69.40787099999989,69.40788159999988,69.89113619999989,70.35176039999988,70.17485420000003,70.17486669999994,71.51139949999992,71.51139949999992,72.30111659999989,72.63493790000007,space,1,1.1213474999999562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
2,condition_1/rightstar.PNG,space,,,,,0,1,1,21,,,,,,,,,72.71872159999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.63546120000001,72.71872159999998,73.14167279999992,73.14168410000002,73.62411679999991,74.08891689999996,73.91156699999988,73.91157900000007,75.2303773000001,75.2303773000001,76.01763860000005,76.58845479999991,space,1,1.356681799999933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
2,condition_1/leftstar.PNG,space,,,,,0,2,2,17,,,,,,,,,76.67211980000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.5888609000001,76.67211980000002,77.0910401000001,77.09105120000004,77.5778706000001,78.0422117999999,77.86156959999994,77.86157950000006,79.18699739999988,79.18699739999988,79.97785569999996,80.555161,space,1,1.3648498000000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
2,condition_1/rightstar.PNG,space,,,,,0,3,3,13,,,,,,,,,80.634679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.55554800000004,80.634679,81.06232539999996,81.06239060000007,81.54138779999994,82.00205529999994,81.8246059999999,81.82461680000006,83.15188829999988,83.15188829999988,83.94115009999996,84.6450863,space,1,1.4924223999998958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
8,condition_1/leftstar.PNG,left,,,,,0,4,4,18,,,,,,,,,84.72519740000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.64547549999997,84.72519740000007,85.14678329999992,85.14685069999996,85.63429730000007,86.1188967999999,85.91808500000002,85.91809760000001,87.24282560000006,87.24282560000006,88.03108440000005,88.66814670000008,left,1,1.4234268000000156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
8,condition_1/blank.PNG,space,,,,,0,5,5,10,,,,,,,,,88.74200599999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.66851419999989,88.74200599999995,89.17111309999996,89.17112399999996,89.65445750000003,89.9760945999999,89.93782929999998,89.9378385,91.35806920000005,91.35806920000005,92.14438459999997,93.79490099999998,space,1,2.4345765999999003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
2,condition_1/blank.PNG,space,,,,,0,6,6,9,,,,,,,,,93.8679901999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.79527499999995,93.8679901999999,94.29783210000005,94.29784180000001,94.78124550000007,95.10029710000003,95.06454389999999,95.06455310000001,96.38438139999994,96.38438139999994,97.17117209999992,97.31838459999994,space,1,0.9333126999999877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
1,condition_1/leftstar.PNG,space,,,,,0,7,7,16,,,,,,,,,97.39175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.31883429999993,97.39175,97.82120880000002,97.82121849999999,98.30749839999999,98.76136199999996,98.59115300000008,98.59116319999998,99.96796760000007,99.96796760000007,100.75781890000007,101.5880494999999,space,1,1.6167824999999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
8,condition_1/rightstar.PNG,right,,,,,0,8,8,14,,,,,,,,,101.6618352999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.58842639999989,101.6618352999999,102.09109080000007,102.0911016,102.57429980000006,103.03249830000004,102.85776959999998,102.85777989999997,104.18160869999997,104.18160869999997,104.96756200000004,105.26174590000005,right,1,1.0793198000001212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2023-11-11_13h41.04.619,untitled,2023.2.3,None,2023-11-11 13h41.21.263868 +0800,
