stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,image_2.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,image_9.stopped,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.005484466187681392,0.01591886367305051,0.01591886367305051,3.7670136986960188,space,3.736397379066375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-09_18h04.24.282,untitled,2023.2.2,60.03894805962248,2023-11-09 18h04.44.728823 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7670563653368845,3.782253201274898,3.782253201274898,122.58395367724847,space,118.78513109625919,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-09_18h04.24.282,untitled,2023.2.2,60.03894805962248,2023-11-09 18h04.44.728823 +0800,
8,test/rightstar.PNG,right,0,0,0,1,,,,,,,,,,,,,122.74666141045691,,,,,,,,,,,,,,,,122.60527888509046,122.74666141045691,123.09925522673848,123.09927025020374,123.59923674787638,124.15033681106524,123.88347289631679,123.88349603245297,125.22020073152248,125.22020073152248,126.12895571593276,126.01670218714594,right,0.7877974608541081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-09_18h04.24.282,untitled,2023.2.2,60.03894805962248,2023-11-09 18h04.44.728823 +0800,
2,test/leftstar.PNG,space,0,1,1,4,,,,,,,,,,,,,126.12895571593276,,,,,,,,,,,,,,,,126.01738785809539,126.12895571593276,126.5325562996843,126.53257132314957,127.03253661894496,127.56799394974996,127.3165744576454,127.31659519002733,128.63630204015635,128.63630204015635,,129.33320543356672,left,0.6831755518944647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-09_18h04.24.282,untitled,2023.2.2,60.03894805962248,2023-11-09 18h04.44.728823 +0800,
9,test/rightstar.PNG,right,0,2,2,3,,,,,,,,,,,,,129.44187466403764,,,,,,,,,,,,,,,,129.33371833466686,129.44187466403764,129.84938134872846,129.84940148017176,130.3326838188566,130.8672250187567,130.61684034293148,130.61686317859858,131.95306549299335,131.95306549299335,,132.71661297780997,right,0.7516882618961063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-09_18h04.24.282,untitled,2023.2.2,60.03894805962248,2023-11-09 18h04.44.728823 +0800,
8,test/leftstar.PNG,left,0,3,3,5,,,,,,,,,,,,,132.82515991727473,,,,,,,,,,,,,,,,132.7170817099227,132.82515991727473,133.23264316535983,133.23265758788648,133.71590927870238,134.25024045055966,133.99987169960764,133.99991346484057,135.32017167614094,135.32017167614094,,136.06719425070014,left,0.7363856607635171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-09_18h04.24.282,untitled,2023.2.2,60.03894805962248,2023-11-09 18h04.44.728823 +0800,
1,test/blank.PNG,space,0,4,4,2,,,,,,,,,,,,,136.18756916427765,,,,,,,,,,,,,,,,136.06804277601168,136.18756916427765,136.58264242921018,136.5826568517366,137.0827612648195,137.4855331542335,137.36728135675094,137.3673096008656,138.6826419184124,138.6826419184124,,138.91749683831176,space,0.2308012885325752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-09_18h04.24.282,untitled,2023.2.2,60.03894805962248,2023-11-09 18h04.44.728823 +0800,
1,test/leftstar.PNG,space,0,5,5,0,,,,,,,,,,,,,139.03997593841814,,,,,,,,,,,,,,,,138.9184081617077,139.03997593841814,139.4325405851398,139.43255290438128,139.932562068695,140.46764892084934,140.2166951561644,140.21671799183127,141.5369085975385,141.5369085975385,142.3491585507404,144.86705675594703,space,3.318835188681078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-09_18h04.24.282,untitled,2023.2.2,60.03894805962248,2023-11-09 18h04.44.728823 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.8675606429681,144.88247623963866,144.88247623963866,176.28373045860326,space,31.398138953231182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-09_18h04.24.282,untitled,2023.2.2,60.03894805962248,2023-11-09 18h04.44.728823 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.28377372618297,176.29976320014225,176.29976320014225,178.36722607039928,space,2.0519301096380786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-09_18h04.24.282,untitled,2023.2.2,60.03894805962248,2023-11-09 18h04.44.728823 +0800,
