stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,image_7.stopped,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_2.stopped,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.018417700000100012,0.027969100000063918,0.027969100000063918,11.025090500000033,space,10.996318099999826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-11_13h49.43.709,untitled,2023.2.3,271.52736860194943,2023-11-11 13h49.55.145240 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.025114699999904,11.031040099999927,11.031040099999927,56.9349995,space,45.902433599999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-11_13h49.43.709,untitled,2023.2.3,271.52736860194943,2023-11-11 13h49.55.145240 +0800,
8,test/rightstar.PNG,right,0,0,0,1,,,,,,,,,,,,,57.02217100000007,,,,,,,,,,,,,,,,56.93981329999997,57.02217100000007,57.43755620000002,57.43756690000009,57.933966600000076,58.39649589999999,58.23109210000007,58.23110120000001,59.5620057000001,59.5620057000001,60.27105269999993,right,0.7057355000001735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-11_13h49.43.709,untitled,2023.2.3,271.52736860194943,2023-11-11 13h49.55.145240 +0800,
9,test/rightstar.PNG,right,0,1,1,3,,,,,,,,,,,,,60.33950909999999,,,,,,,,,,,,,,,,60.2714747,60.33950909999999,60.77402910000001,60.77403929999991,61.27062049999995,61.73392029999991,61.567518300000074,61.56752950000009,62.87872289999996,62.87872289999996,63.36804230000007,right,0.48322619999999006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-11_13h49.43.709,untitled,2023.2.3,271.52736860194943,2023-11-11 13h49.55.145240 +0800,
1,test/blank.PNG,space,0,2,2,2,,,,,,,,,,,,,63.43814100000009,,,,,,,,,,,,,,,,63.36841709999999,63.43814100000009,63.87430969999991,63.87432080000008,64.36737440000002,64.7004151000001,64.66442940000002,64.66443920000006,66.07007610000005,66.07007610000005,67.59793130000003,space,1.524551400000064,None,66.8710043000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-11_13h49.43.709,untitled,2023.2.3,271.52736860194943,2023-11-11 13h49.55.145240 +0800,
2,test/leftstar.PNG,space,0,3,3,4,,,,,,,,,,,,,67.66827760000001,,,,,,,,,,,,,,,,67.59825210000008,67.66827760000001,68.1011238000001,68.10113490000003,68.59745509999993,69.07435450000003,68.89408299999991,68.8940935999999,70.24291689999995,70.24291689999995,71.06464699999992,left,0.8187215000000378,None,71.04409450000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-11_13h49.43.709,untitled,2023.2.3,271.52736860194943,2023-11-11 13h49.55.145240 +0800,
8,test/leftstar.PNG,left,0,4,4,5,,,,,,,,,,,,,71.14104610000004,,,,,,,,,,,,,,,,71.06497760000002,71.14104610000004,71.56743129999995,71.56744040000012,72.06371919999992,72.53572929999996,72.3608865000001,72.36089530000004,73.6717286999999,73.6717286999999,74.36131169999999,left,0.6863737999999557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-11_13h49.43.709,untitled,2023.2.3,271.52736860194943,2023-11-11 13h49.55.145240 +0800,
1,test/leftstar.PNG,space,0,5,5,0,,,,,,,,,,,,,74.43050530000005,,,,,,,,,,,,,,,,74.36162880000006,74.43050530000005,74.86398940000004,74.86399890000007,75.36072179999996,75.8216754,75.65769730000011,75.65770629999997,76.96819299999993,76.96819299999993,77.44493919999991,left,0.47067489999994905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-11_13h49.43.709,untitled,2023.2.3,271.52736860194943,2023-11-11 13h49.55.145240 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.44519500000001,77.45085270000004,77.45085270000004,104.81118650000008,space,27.3583079,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-11_13h49.43.709,untitled,2023.2.3,271.52736860194943,2023-11-11 13h49.55.145240 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.81121120000012,104.8175162,104.8175162,115.70192410000004,space,10.883727800000088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-11_13h49.43.709,untitled,2023.2.3,271.52736860194943,2023-11-11 13h49.55.145240 +0800,
