stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,text_4.stopped,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_2.stopped,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,image_9.stopped,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.021849099997780286,0.03963109999313019,0.03963109999313019,5.255929399994784,space,5.212107200000901,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-12_14h08.58.228,untitled,2023.2.3,60.8933665854337,2023-11-12 14h09.07.920587 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.255953499989118,5.272159999993164,5.272159999993164,27.60565109999152,space,22.32636970000749,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-12_14h08.58.228,untitled,2023.2.3,60.8933665854337,2023-11-12 14h09.07.920587 +0800,
2,test/leftstar.PNG,space,0,0,0,4,,,,,,,,,,,,,27.698021299991524,,,,,,,,,,,,,,,,27.611063699994702,27.698021299991524,28.122458099998767,28.1224693999975,28.60570590000134,28.90622569998959,28.906235699992976,30.22097429999849,30.22097429999849,31.02229229999648,33.039225999993505,space,2.808389800004079,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-12_14h08.58.228,untitled,2023.2.3,60.8933665854337,2023-11-12 14h09.07.920587 +0800,
1,test/blank.PNG,space,0,1,1,2,,,,,,,,,,,,,33.110927599991555,,,,,,,,,,,,,,,,33.039669999998296,33.110927599991555,33.554733199998736,33.55474510000204,34.03833959999611,34.3224390999967,34.32245079999848,35.74763939999684,35.74763939999684,36.55539470000076,39.08943219999492,space,3.3299777999927755,None,34.3714112000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-12_14h08.58.228,untitled,2023.2.3,60.8933665854337,2023-11-12 14h09.07.920587 +0800,
1,test/leftstar.PNG,space,0,2,2,0,,,,,,,,,,,,,39.172002899998915,,,,,,,,,,,,,,,,39.08976309999707,39.172002899998915,39.605958300002385,39.60596999998961,40.1056125999894,40.38854600000195,40.38855530000001,41.74236229999224,41.74236229999224,42.55453539999144,43.33942599999136,space,1.5878364000091096,None,40.56213439999556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-12_14h08.58.228,untitled,2023.2.3,60.8933665854337,2023-11-12 14h09.07.920587 +0800,
8,test/rightstar.PNG,right,0,3,3,1,,,,,,,,,,,,,43.40983009999036,,,,,,,,,,,,,,,,43.339792300001136,43.40983009999036,43.8558200999978,43.85583659999247,44.37265559998923,44.65494670000044,44.654957099992316,45.954562500002794,45.954562500002794,46.755282400001306,47.0725289999973,right,1.105855400004657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-12_14h08.58.228,untitled,2023.2.3,60.8933665854337,2023-11-12 14h09.07.920587 +0800,
9,test/rightstar.PNG,right,0,4,4,3,,,,,,,,,,,,,47.142375399998855,,,,,,,,,,,,,,,,47.072896099998616,47.142375399998855,47.588577399990754,47.58858809999947,48.087824399990495,48.371604899992235,48.37161499999638,49.68930119999277,49.68930119999277,50.50466589999269,50.706016099997214,right,1.0017324999935227,None,48.53837449999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-12_14h08.58.228,untitled,2023.2.3,60.8933665854337,2023-11-12 14h09.07.920587 +0800,
8,test/leftstar.PNG,left,0,5,5,5,,,,,,,,,,,,,50.776874299990595,,,,,,,,,,,,,,,,50.70647759998974,50.776874299990595,51.22181740000087,51.22182839999732,51.70578069999465,52.00492890000169,52.00494009999966,53.304682000001776,53.304682000001776,,53.92392879999534,left,0.6158665999973891,None,52.17155169999751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-12_14h08.58.228,untitled,2023.2.3,60.8933665854337,2023-11-12 14h09.07.920587 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.92416189999494,53.938879699999234,53.938879699999234,56.039070999991964,space,2.0927985000016633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-12_14h08.58.228,untitled,2023.2.3,60.8933665854337,2023-11-12 14h09.07.920587 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.03910539999197,56.05566209999961,56.05566209999961,59.038744999998016,space,2.979318500001682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-12_14h08.58.228,untitled,2023.2.3,60.8933665854337,2023-11-12 14h09.07.920587 +0800,
