stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,image_7.stopped,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,image_2.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,image_9.stopped,routine_26.started,text_12.started,key_resp_11.started,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,image_5.stopped,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.00298079999993206,0.006873899999959576,0.006873899999959576,2.555316599999969,space,2.531889799999931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5553703999999016,2.569805699999961,2.569805699999961,3.5712724999999637,space,0.9870241999999507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
9,test/rightstar.PNG,space,0,0,0,3,,,,,,,,,,,,,3.7094366000000036,,,,,,,,,,,,,,,,3.5814591999999266,3.7094366000000036,4.087381499999992,4.0874063999999635,4.586436800000001,5.14148519999992,4.87131439999996,4.871342899999945,6.205040399999916,6.205040399999916,6.922018699999967,right,0.7022373000000925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
8,test/rightstar.PNG,space,0,1,1,1,,,,,,,,,,,,,6.976816999999983,,,,,,,,,,,,,,,,6.923190499999919,6.976816999999983,7.437263400000006,7.4373019999999315,7.936388399999942,8.343423400000006,8.220558499999925,8.22058340000001,9.538577400000008,9.538577400000008,18.188643899999988,space,8.634714400000007,None,10.353022399999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
1,test/leftstar.PNG,left,0,2,2,0,,,,,,,,,,,,,18.261305799999946,,,,,,,,,,,,,,,,18.1896749,18.261305799999946,18.70385979999992,18.70388109999999,19.202919099999917,19.735255099999904,19.48749979999991,19.48752229999991,20.80508779999991,20.80508779999991,21.222452599999997,left,0.4141570000000456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
8,test/rightstar.PNG,space,0,3,3,5,,,,,,,,,,,,,21.284873800000014,,,,,,,,,,,,,,,,21.223362299999962,21.284873800000014,21.737196799999992,21.737217999999984,22.23639700000001,22.669890599999917,22.521386699999994,22.521412899999973,23.838507399999912,23.838507399999912,27.78795279999997,space,3.9346932999999353,None,24.65307919999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
1,test/blank.PNG,space,0,4,4,2,,,,,,,,,,,,,27.843233399999917,,,,,,,,,,,,,,,,27.788838599999963,27.843233399999917,28.30411229999993,28.304135499999916,28.80325229999994,29.194439699999975,29.087553099999923,29.087577099999976,30.404362499999934,30.404362499999934,31.204712099999938,space,0.7974324000000479,None,31.20313329999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
2,test/leftstar.PNG,left,0,5,5,4,,,,,,,,,,,,,31.262672099999918,,,,,,,,,,,,,,,,31.205525299999977,31.262672099999918,31.72080799999992,31.72084559999996,32.21999139999991,32.79358119999995,32.50447550000001,32.50450639999997,33.82171389999996,33.82171389999996,34.438950699999964,left,0.6131410999998934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.43964369999992,34.45319489999997,34.45319489999997,35.770264699999984,space,1.3032643000000235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.770291399999905,35.78637619999995,35.78637619999995,36.90506299999993,space,1.105421299999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
9,condition_1/leftstar.PNG,space,,,,,0,0,0,19,,,,,,,,,37.07711969999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.92117409999992,37.07711969999991,37.42072469999994,37.42075019999993,37.920094500000005,38.50035249999996,38.20430759999999,38.20433479999997,39.53563759999997,39.53563759999997,40.336634199999935,41.78753059999997,space,1,2.241809699999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
2,condition_1/leftstar.PNG,left,,,,,0,1,1,17,,,,,,,,,41.871607100000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.78860959999997,41.871607100000006,42.303839100000005,42.30386249999992,42.80315350000001,43.24838949999992,43.08759999999995,43.08762639999998,44.40570099999991,44.40570099999991,,45.00525970000001,left,1,0.5898133999999118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
2,condition_1/blank.PNG,space,,,,,0,2,2,20,,,,,,,,,45.09920299999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00632759999996,45.09920299999999,45.52050079999992,45.520524199999954,46.01986749999992,46.46268359999999,46.304170099999965,46.30421369999999,47.62095360000001,47.62095360000001,48.41989579999995,51.02105969999991,space,1,3.3962578999999096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
