stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,image_2.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,image_9.stopped,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,image_5.stopped,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.3377801999999974,0.3438980999999899,0.3438980999999899,4.839817000000011,space,4.493483899999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-11_13h32.29.525,untitled,2023.2.2,60.55809125741306,2023-11-11 13h32.58.287545 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8398506999999995,4.8548106000000075,4.8548106000000075,26.6229237,space,21.76389210000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-11_13h32.29.525,untitled,2023.2.2,60.55809125741306,2023-11-11 13h32.58.287545 +0800,
9,test/rightstar.PNG,space,0,0,0,3,,,,,,,,,,,,,26.864786199999998,,,,,,,,,,,,,,,,26.631352099999987,26.864786199999998,27.138834099999997,27.138865699999997,27.638344499999988,28.255526500000002,27.92250519999999,27.92253550000001,29.258471499999985,29.258471499999985,30.071659899999986,34.039244499999995,right,4.777547199999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-11_13h32.29.525,untitled,2023.2.2,60.55809125741306,2023-11-11 13h32.58.287545 +0800,
2,test/leftstar.PNG,left,0,1,1,4,,,,,,,,,,,,,34.131253499999985,,,,,,,,,,,,,,,,34.0399017,34.131253499999985,34.5552687,34.5552826,35.054746300000005,35.52046060000001,35.338751599999995,35.33877240000001,36.6576096,36.6576096,37.55385480000001,37.45678649999999,left,0.7849278000000197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-11_13h32.29.525,untitled,2023.2.2,60.55809125741306,2023-11-11 13h32.58.287545 +0800,
1,test/blank.PNG,space,0,2,2,2,,,,,,,,,,,,,37.55385480000001,,,,,,,,,,,,,,,,37.45764919999999,37.55385480000001,37.97205629999999,37.972075099999984,38.471419199999985,38.89615739999999,38.755053799999985,38.755065599999995,40.072532499999994,40.072532499999994,40.87143789999999,46.75614719999999,space,6.673383399999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-11_13h32.29.525,untitled,2023.2.2,60.55809125741306,2023-11-11 13h32.58.287545 +0800,
1,test/leftstar.PNG,left,0,3,3,0,,,,,,,,,,,,,46.850718900000004,,,,,,,,,,,,,,,,46.75702129999999,46.850718900000004,47.2720831,47.27210980000001,47.7712827,48.33308840000001,48.05573179999999,48.05575540000001,49.37357850000001,49.37357850000001,50.188053,50.406315199999995,left,1.0315761000000236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-11_13h32.29.525,untitled,2023.2.2,60.55809125741306,2023-11-11 13h32.58.287545 +0800,
8,test/rightstar.PNG,space,0,4,4,1,,,,,,,,,,,,,50.49178090000001,,,,,,,,,,,,,,,,50.4068403,50.49178090000001,50.92219309999999,50.92222000000001,51.421452999999985,51.863265600000005,51.7061027,51.706140500000004,53.0241034,53.0241034,,53.59014350000001,right,0.5557268000000022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-11_13h32.29.525,untitled,2023.2.2,60.55809125741306,2023-11-11 13h32.58.287545 +0800,
8,test/rightstar.PNG,space,0,5,5,5,,,,,,,,,,,,,53.64806730000001,,,,,,,,,,,,,,,,53.59101429999998,53.64806730000001,54.105607899999995,54.1056394,54.60482110000001,55.156023000000005,54.889309199999985,54.889342400000004,56.20712739999999,56.20712739999999,57.0214282,57.322599499999995,right,1.0989774000000239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-11_13h32.29.525,untitled,2023.2.2,60.55809125741306,2023-11-11 13h32.58.287545 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3232673,57.33813939999999,57.33813939999999,59.70605330000001,space,2.352548899999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-11_13h32.29.525,untitled,2023.2.2,60.55809125741306,2023-11-11 13h32.58.287545 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.706101700000005,59.72144349999999,59.72144349999999,80.49031360000001,space,20.766764800000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-11_13h32.29.525,untitled,2023.2.2,60.55809125741306,2023-11-11 13h32.58.287545 +0800,
