stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_2.stopped,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,image_9.stopped,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,image_5.stopped,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.0033422999999856984,0.007220499999903041,0.007220499999903041,14.919719100000066,space,14.90687109999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-11_13h52.17.523,untitled,2023.2.2,59.89498014188146,2023-11-11 13h52.27.623043 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.919773600000099,14.93432759999996,14.93432759999996,88.66973159999998,space,73.72471010000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-11_13h52.17.523,untitled,2023.2.2,59.89498014188146,2023-11-11 13h52.27.623043 +0800,
2,test/leftstar.PNG,left,0,0,0,4,,,,,,,,,,,,,88.83706699999993,,,,,,,,,,,,,,,,88.68023080000012,88.83706699999993,89.18514729999993,89.18519259999994,89.6845659999999,90.23390799999993,89.96889740000006,89.96893320000004,91.29534760000001,91.29534760000001,92.10121350000009,92.4363065,left,1.1355428000001666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-11_13h52.17.523,untitled,2023.2.2,59.89498014188146,2023-11-11 13h52.27.623043 +0800,
1,test/leftstar.PNG,left,0,1,1,0,,,,,,,,,,,,,92.4969579000001,,,,,,,,,,,,,,,,92.43775860000005,92.4969579000001,92.95199690000004,92.95202029999996,93.45111500000007,93.88582339999994,93.73550610000007,93.7355427,95.0533109999999,95.0533109999999,,95.7203078,left,0.6509725000000799,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-11_13h52.17.523,untitled,2023.2.2,59.89498014188146,2023-11-11 13h52.27.623043 +0800,
8,test/rightstar.PNG,space,0,2,2,1,,,,,,,,,,,,,95.77818449999995,,,,,,,,,,,,,,,,95.72130949999996,95.77818449999995,96.23507519999998,96.23512180000012,96.7343929000001,97.14353080000001,97.01889800000004,97.01893020000011,98.336499,98.336499,,98.8703011,right,0.5242788999998993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-11_13h52.17.523,untitled,2023.2.2,59.89498014188146,2023-11-11 13h52.27.623043 +0800,
1,test/blank.PNG,space,0,3,3,2,,,,,,,,,,,,,98.92792250000002,,,,,,,,,,,,,,,,98.87125179999998,98.92792250000002,99.38533419999999,99.38537470000006,99.8847353000001,100.32290059999991,100.16916199999991,100.16919529999996,101.48570949999998,101.48570949999998,102.28441249999992,105.51947939999991,space,4.030704100000094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-11_13h52.17.523,untitled,2023.2.2,59.89498014188146,2023-11-11 13h52.27.623043 +0800,
9,test/rightstar.PNG,space,0,4,4,3,,,,,,,,,,,,,105.57404599999995,,,,,,,,,,,,,,,,105.52045180000005,105.57404599999995,106.03528310000002,106.03530640000008,106.53464310000004,106.98694649999993,106.81862939999996,106.81865360000006,108.1365151,108.1365151,,108.82001609999998,right,0.6804204999998547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-11_13h52.17.523,untitled,2023.2.2,59.89498014188146,2023-11-11 13h52.27.623043 +0800,
8,test/rightstar.PNG,space,0,5,5,5,,,,,,,,,,,,,108.87369390000003,,,,,,,,,,,,,,,,108.82096430000001,108.87369390000003,109.33515310000007,109.33517669999992,109.83435159999999,110.29095869999992,110.11884409999993,110.11887550000006,111.43626250000011,111.43626250000011,,111.76976020000006,right,0.32650489999991805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-11_13h52.17.523,untitled,2023.2.2,59.89498014188146,2023-11-11 13h52.27.623043 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.7703368,111.78442070000006,111.78442070000006,143.785754,space,31.987898600000108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-11_13h52.17.523,untitled,2023.2.2,59.89498014188146,2023-11-11 13h52.27.623043 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.78580779999993,143.8010392000001,143.8010392000001,144.9695987,space,1.1661911000001055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-11_13h52.17.523,untitled,2023.2.2,59.89498014188146,2023-11-11 13h52.27.623043 +0800,
