stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_2.stopped,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,image_9.stopped,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.005453512933854654,0.01788001069667189,0.01788001069667189,3.9363417294396186,space,3.907898729917406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-09_18h10.13.503,untitled,2023.2.2,59.966090212277884,2023-11-09 18h10.24.739024 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.936370574466764,3.951330026170808,3.951330026170808,23.83600460318553,space,19.870219913284473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-09_18h10.13.503,untitled,2023.2.2,59.966090212277884,2023-11-09 18h10.24.739024 +0800,
8,test/rightstar.PNG,space,0,0,0,5,,,,,,,,,,,,,23.989438813988727,,,,,,,,,,,,,,,,23.8567468818826,23.989438813988727,24.351450514252747,24.35146824192566,24.85149648601464,25.36862261990973,25.135553899637443,25.135578237629034,26.467536724827596,26.467536724827596,27.268093493944207,27.286090988032356,right,0.8102123414651032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-09_18h10.13.503,untitled,2023.2.2,59.966090212277884,2023-11-09 18h10.24.739024 +0800,
1,test/leftstar.PNG,left,0,1,1,0,,,,,,,,,,,,,27.398185767983932,,,,,,,,,,,,,,,,27.287986947625313,27.398185767983932,27.801371340662854,27.801384260831128,28.301430232593248,28.811968582958116,28.585155327466282,28.585169149041803,29.904261852752143,29.904261852752143,,30.33545744907815,left,0.4213768692929989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-09_18h10.13.503,untitled,2023.2.2,59.966090212277884,2023-11-09 18h10.24.739024 +0800,
1,test/blank.PNG,space,0,2,2,2,,,,,,,,,,,,,30.437091399674955,,,,,,,,,,,,,,,,30.33593459390113,30.437091399674955,30.851153049910863,30.851164167265097,31.33496257658203,31.718482751575266,31.619211989916266,31.61923963306731,32.95142257063276,32.95142257063276,33.751399434517225,34.00277242775974,space,1.0383677921233812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-09_18h10.13.503,untitled,2023.2.2,59.966090212277884,2023-11-09 18h10.24.739024 +0800,
2,test/leftstar.PNG,left,0,3,3,4,,,,,,,,,,,,,34.11665379657643,,,,,,,,,,,,,,,,34.00361884902327,34.11665379657643,34.51803054568177,34.51804376631935,35.018302169686876,35.53246297470355,35.302576221481786,35.30260566744687,36.62282362768292,36.62282362768292,,37.18541222848876,left,0.5598026519396626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-09_18h10.13.503,untitled,2023.2.2,59.966090212277884,2023-11-09 18h10.24.739024 +0800,
9,test/rightstar.PNG,space,0,4,4,3,,,,,,,,,,,,,37.286834949356034,,,,,,,,,,,,,,,,37.18590019019689,37.286834949356034,37.70154320894926,37.70155973474607,38.184787553370825,38.683022898745094,38.468340179019606,38.46835309918788,39.789664165762815,39.789664165762815,,39.85328007018961,space,0.0492309495120935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-09_18h10.13.503,untitled,2023.2.2,59.966090212277884,2023-11-09 18h10.24.739024 +0800,
8,test/rightstar.PNG,space,0,5,5,1,,,,,,,,,,,,,39.9600340130944,,,,,,,,,,,,,,,,39.85428964613766,39.9600340130944,40.368049625465346,40.36806404797903,40.868241625177006,41.374696300925734,41.15220559293061,41.15222782763908,42.47260713974515,42.47260713974515,43.28547863214476,43.82057161228681,space,1.3411861916451926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-09_18h10.13.503,untitled,2023.2.2,59.966090212277884,2023-11-09 18h10.24.739024 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.82149435268457,43.834812342066016,43.834812342066016,46.05256315107886,space,2.2101498439064926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-09_18h10.13.503,untitled,2023.2.2,59.966090212277884,2023-11-09 18h10.24.739024 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.05260611815038,46.06778371037194,46.06778371037194,47.835889223077174,space,1.7531250281690518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-09_18h10.13.503,untitled,2023.2.2,59.966090212277884,2023-11-09 18h10.24.739024 +0800,
