stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,image_2.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.003169800000023315,0.006704000000013366,0.006704000000013366,6.07860340000002,space,6.058284999999955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-11_13h42.51.152,untitled,2023.2.2,60.14845842508881,2023-11-11 13h43.11.080224 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.078667400000086,6.093755200000032,6.093755200000032,39.095300000000066,space,32.99487450000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-11_13h42.51.152,untitled,2023.2.2,60.14845842508881,2023-11-11 13h43.11.080224 +0800,
2,test/leftstar.PNG,left,0,0,0,4,,,,,,,,,,,,,39.268532100000016,,,,,,,,,,,,,,,,39.104402200000095,39.268532100000016,39.611230800000044,39.611255400000005,40.11048500000004,40.66978330000006,40.39467680000007,40.39470080000001,41.723065800000086,41.723065800000086,42.52696480000009,42.6958681000001,left,0.9570593999999346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-11_13h42.51.152,untitled,2023.2.2,60.14845842508881,2023-11-11 13h43.11.080224 +0800,
8,test/rightstar.PNG,space,0,1,1,1,,,,,,,,,,,,,42.759123300000056,,,,,,,,,,,,,,,,42.69713090000005,42.759123300000056,43.21112430000005,43.211164300000064,43.710354900000084,44.12392399999999,43.99501250000003,43.99504000000002,45.31235000000004,45.31235000000004,,45.37927339999999,space,0.052200500000026295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-11_13h42.51.152,untitled,2023.2.2,60.14845842508881,2023-11-11 13h43.11.080224 +0800,
8,test/rightstar.PNG,space,0,2,2,5,,,,,,,,,,,,,45.437760000000026,,,,,,,,,,,,,,,,45.38026190000005,45.437760000000026,45.89450670000008,45.894529600000055,46.393674600000054,46.79791470000009,46.67806000000007,46.678091100000074,47.99620809999999,47.99620809999999,,48.21230830000002,space,0.20020629999999073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-11_13h42.51.152,untitled,2023.2.2,60.14845842508881,2023-11-11 13h43.11.080224 +0800,
1,test/leftstar.PNG,left,0,3,3,0,,,,,,,,,,,,,48.26517369999999,,,,,,,,,,,,,,,,48.21316740000009,48.26517369999999,48.727555499999994,48.72757640000009,49.22693780000009,49.63687870000001,49.51166280000007,49.51168670000004,50.8291385,50.8291385,51.6436688,51.69509100000005,left,0.8596241000000191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-11_13h42.51.152,untitled,2023.2.2,60.14845842508881,2023-11-11 13h43.11.080224 +0800,
9,test/rightstar.PNG,space,0,4,4,3,,,,,,,,,,,,,51.75669149999999,,,,,,,,,,,,,,,,51.69605320000005,51.75669149999999,52.211199100000044,52.21125790000008,52.7101371,53.14314999999999,52.99489940000001,52.99493600000005,54.3127508,54.3127508,55.127136000000064,71.2118508000001,space,16.886361899999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-11_13h42.51.152,untitled,2023.2.2,60.14845842508881,2023-11-11 13h43.11.080224 +0800,
1,test/blank.PNG,space,0,5,5,2,,,,,,,,,,,,,71.34697490000008,,,,,,,,,,,,,,,,71.2127696,71.34697490000008,71.72804210000004,71.72808090000001,72.22710110000003,72.65738510000006,72.51187800000002,72.5119082,73.82835580000005,73.82835580000005,74.62683460000005,81.77876140000001,space,7.945138000000043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-11_13h42.51.152,untitled,2023.2.2,60.14845842508881,2023-11-11 13h43.11.080224 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.77945140000008,81.79350380000005,81.79350380000005,103.44518360000006,space,21.63540839999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-11_13h42.51.152,untitled,2023.2.2,60.14845842508881,2023-11-11 13h43.11.080224 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.44524060000003,103.46027920000006,103.46027920000006,109.04663100000005,space,5.573766599999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-11_13h42.51.152,untitled,2023.2.2,60.14845842508881,2023-11-11 13h43.11.080224 +0800,
8,condition_1/rightstar.PNG,space,,,,,0,0,0,23,,,,,,,,,109.1364797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.06130030000008,109.1364797,109.56104390000007,109.56106640000007,110.0605799,110.61116790000005,110.3446265,110.34465190000003,111.6723121,111.6723121,112.47700570000006,112.97900320000008,space,1,1.301193200000057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-11_13h42.51.152,untitled,2023.2.2,60.14845842508881,2023-11-11 13h43.11.080224 +0800,
