stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_2.stopped,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,image_9.stopped,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,text_13.stopped,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,image_5.stopped,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.003797034004719535,0.008799551939773664,0.008799551939773664,6.407877831475162,space,6.395225658659228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-09_18h02.45.511,untitled,2023.2.2,59.95906793071105,2023-11-09 18h02.57.998173 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.407922300972132,6.422900108289241,6.422900108289241,45.20725579936334,space,38.77306434495836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-09_18h02.45.511,untitled,2023.2.2,59.95906793071105,2023-11-09 18h02.57.998173 +0800,
2,test/leftstar.PNG,left,0,0,0,4,,,,,,,,,,,,,45.400674974850745,,,,,,,,,,,,,,,,45.218429060936614,45.400674974850745,45.70989181893469,45.70990413818731,46.22248690253127,46.72640081920031,46.506389485487944,46.50640300661894,47.8353378660172,47.8353378660172,48.639185619285854,48.74063105821779,left,0.8966405698824929,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-09_18h02.45.511,untitled,2023.2.2,59.95906793071105,2023-11-09 18h02.57.998173 +0800,
1,test/leftstar.PNG,left,0,1,1,0,,,,,,,,,,,,,48.83996659980221,,,,,,,,,,,,,,,,48.74176022287634,48.83996659980221,49.24321689937051,49.24322711533591,49.75607910041822,50.2590600590604,50.04002465052395,50.040048387620345,51.36858121872865,51.36858121872865,,51.760866482138454,left,0.3794933722422229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-09_18h02.45.511,untitled,2023.2.2,59.95906793071105,2023-11-09 18h02.57.998173 +0800,
9,test/rightstar.PNG,space,0,2,2,3,,,,,,,,,,,,,51.86066955437968,,,,,,,,,,,,,,,,51.761471026920844,51.86066955437968,52.27661469344298,52.27662520987815,52.772652100703,53.27401983820323,53.05652163200648,53.05653966018099,54.38540811580356,54.38540811580356,55.18917654510483,55.473539146978965,space,1.0818100527503702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-09_18h02.45.511,untitled,2023.2.2,59.95906793071105,2023-11-09 18h02.57.998173 +0800,
8,test/rightstar.PNG,space,0,3,3,1,,,,,,,,,,,,,55.571491927584475,,,,,,,,,,,,,,,,55.47417824576246,55.571491927584475,55.97663758922454,55.97664870659878,56.48927714231809,56.99065359343581,56.773224495241266,56.77324402576346,58.10196915739925,58.10196915739925,,58.46123191323409,space,0.3569698725168564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-09_18h02.45.511,untitled,2023.2.2,59.95906793071105,2023-11-09 18h02.57.998173 +0800,
8,test/rightstar.PNG,space,0,4,4,5,,,,,,,,,,,,,58.56568805729603,,,,,,,,,,,,,,,,58.46192419513227,58.56568805729603,58.97668506341711,58.97669648126089,59.47261009505655,59.9757262650071,59.756720002019165,59.75674193629811,61.08533095521693,61.08533095521693,,61.32781951634024,space,0.2305157500140922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-09_18h02.45.511,untitled,2023.2.2,59.95906793071105,2023-11-09 18h02.57.998173 +0800,
1,test/blank.PNG,space,0,5,5,2,,,,,,,,,,,,,61.42955821357623,,,,,,,,,,,,,,,,61.328588417979745,61.42955821357623,61.84337152101307,61.84338293885685,62.339238562024775,62.75210508983446,62.62293352050597,62.62294463788021,63.94427431189479,63.94427431189479,64.7392008230463,65.97372483717572,space,2.027302468297421,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-09_18h02.45.511,untitled,2023.2.2,59.95906793071105,2023-11-09 18h02.57.998173 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.97417373871895,65.98941205315668,65.98941205315668,74.70686278516064,space,8.70111119657804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-09_18h02.45.511,untitled,2023.2.2,59.95906793071105,2023-11-09 18h02.57.998173 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.70689313258777,74.72309325013134,74.72309325013134,79.72389460248473,space,4.992365368598257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2023-11-09_18h02.45.511,untitled,2023.2.2,59.95906793071105,2023-11-09 18h02.57.998173 +0800,
