stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,image_7.stopped,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_2.stopped,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,image_9.stopped,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,image_5.stopped,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.0034597999999732565,0.007564700000102675,0.007564700000102675,3.0515924000001178,space,3.038309500000196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-12_13h59.46.892,untitled,2023.2.2,60.05057459392776,2023-11-12 14h00.07.069358 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.051627900000085,3.066692000000103,3.066692000000103,27.101531000000023,space,24.026327000000038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-12_13h59.46.892,untitled,2023.2.2,60.05057459392776,2023-11-12 14h00.07.069358 +0800,
2,test/leftstar.PNG,space,0,0,0,4,,,,,,,,,,,,,27.267838800000163,,,,,,,,,,,,,,,,27.109425500000043,27.267838800000163,27.617876600000045,27.617912599999954,28.11699190000013,28.65574270000002,28.40138879999995,28.40141420000009,29.726964299999963,29.726964299999963,30.53357129999995,31.168222400000104,left,1.4310613999998623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-12_13h59.46.892,untitled,2023.2.2,60.05057459392776,2023-11-12 14h00.07.069358 +0800,
8,test/leftstar.PNG,left,0,1,1,5,,,,,,,,,,,,,31.234176300000172,,,,,,,,,,,,,,,,31.169624699999986,31.234176300000172,31.684370200000103,31.684392900000148,32.1835195000001,32.606794100000116,32.46779370000013,32.46781890000011,33.78578360000006,33.78578360000006,34.60019340000008,34.768387000000075,left,0.9721896000000925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-12_13h59.46.892,untitled,2023.2.2,60.05057459392776,2023-11-12 14h00.07.069358 +0800,
1,test/leftstar.PNG,space,0,2,2,0,,,,,,,,,,,,,34.83078300000011,,,,,,,,,,,,,,,,34.76923600000009,34.83078300000011,35.28433360000008,35.284371100000044,35.783361700000114,36.18828989999997,36.06824819999997,36.06828900000005,37.38567920000014,37.38567920000014,38.2000802,38.20195130000002,left,0.8019495000000916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-12_13h59.46.892,untitled,2023.2.2,60.05057459392776,2023-11-12 14h00.07.069358 +0800,
8,test/rightstar.PNG,right,0,3,3,1,,,,,,,,,,,,,38.29215410000006,,,,,,,,,,,,,,,,38.20287460000009,38.29215410000006,38.717656499999975,38.71767920000002,39.21683600000006,39.682040600000164,39.50145970000017,39.50149140000008,40.819047500000124,40.819047500000124,41.633399600000075,41.70182629999999,right,0.8764075999999932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-12_13h59.46.892,untitled,2023.2.2,60.05057459392776,2023-11-12 14h00.07.069358 +0800,
1,test/blank.PNG,space,0,4,4,2,,,,,,,,,,,,,41.76456200000007,,,,,,,,,,,,,,,,41.702778999999964,41.76456200000007,42.21760089999998,42.21762350000017,42.716789199999994,43.18352360000017,43.001175300000114,43.00119810000001,44.31808950000004,44.31808950000004,45.117108099999996,46.41845269999999,space,2.0904851999998755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-12_13h59.46.892,untitled,2023.2.2,60.05057459392776,2023-11-12 14h00.07.069358 +0800,
9,test/rightstar.PNG,right,0,5,5,3,,,,,,,,,,,,,46.49226930000009,,,,,,,,,,,,,,,,46.41932320000001,46.49226930000009,46.93430030000013,46.934334700000136,47.433556899999985,48.01838010000006,47.7175979000001,47.71761900000001,49.03589299999999,49.03589299999999,49.85021080000001,49.968511100000114,right,0.923837100000128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-12_13h59.46.892,untitled,2023.2.2,60.05057459392776,2023-11-12 14h00.07.069358 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.969148700000005,49.98361030000001,49.98361030000001,56.28528559999995,space,6.295669100000168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-12_13h59.46.892,untitled,2023.2.2,60.05057459392776,2023-11-12 14h00.07.069358 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.285340700000006,56.30002390000004,56.30002390000004,58.40178070000002,space,2.099399799999901,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2023-11-12_13h59.46.892,untitled,2023.2.2,60.05057459392776,2023-11-12 14h00.07.069358 +0800,
