stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,image_7.stopped,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,image_2.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,image_9.stopped,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.0030605000001742155,0.0066094000003431574,0.0066094000003431574,5.864074100000835,space,5.845153299999765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8641373000000385,5.878435800000261,5.878435800000261,59.66377040000043,space,53.77384450000045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
2,test/leftstar.PNG,left,0,0,0,4,,,,,,,,,,,,,59.819045900000674,,,,,,,,,,,,,,,,59.671733800000766,59.819045900000674,60.17911750000076,60.17914010000004,60.67817869999999,61.193638900000224,60.962955500000135,60.96300190000056,62.287392700000055,62.287392700000055,62.84783730000072,left,0.5431426999994073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
8,test/rightstar.PNG,space,0,1,1,1,,,,,,,,,,,,,62.91106900000068,,,,,,,,,,,,,,,,62.84902140000031,62.91106900000068,63.3626933000005,63.362722900000335,63.86182000000008,64.28180050000083,64.14601610000045,64.14604430000054,65.46394750000036,65.46394750000036,66.54726760000085,right,1.0758627000004708,None,66.27863640000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
8,test/rightstar.PNG,space,0,2,2,5,,,,,,,,,,,,,66.61025060000065,,,,,,,,,,,,,,,,66.54816390000087,66.61025060000065,67.06338790000063,67.06341100000009,67.56165080000028,67.99609620000047,67.84601630000088,67.84604160000072,69.16373400000066,69.16373400000066,69.93172550000054,right,0.7563294000001406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
1,test/blank.PNG,space,0,3,3,2,,,,,,,,,,,,,69.99305690000074,,,,,,,,,,,,,,,,69.93260930000088,69.99305690000074,70.44592160000047,70.44595370000025,70.94508900000073,71.36617330000081,71.23026950000076,71.23031970000011,72.54605790000005,72.54605790000005,76.62998860000062,space,4.077029000000039,None,73.34515920000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
1,test/leftstar.PNG,left,0,4,4,0,,,,,,,,,,,,,76.69097730000067,,,,,,,,,,,,,,,,76.6308654000004,76.69097730000067,77.14642410000033,77.14645950000067,77.64524340000025,78.16361970000071,77.92959900000005,77.92965150000055,79.24799750000057,79.24799750000057,80.33017180000024,left,1.0673961000002237,None,80.06194180000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
9,test/rightstar.PNG,space,0,5,5,3,,,,,,,,,,,,,80.44250750000083,,,,,,,,,,,,,,,,80.33110000000033,80.44250750000083,80.84598880000067,80.84601500000008,81.34498800000074,81.76688100000047,81.62912940000024,81.62916340000083,82.9469381000008,82.9469381000008,88.3468212000007,right,5.397726700000021,None,83.76145250000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.34741930000018,88.36153620000005,88.36153620000005,115.64621540000007,space,27.27138240000022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.64626000000044,115.66151030000037,115.66151030000037,117.44708770000034,space,1.778895100000227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
